trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,pnl_usd,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,iv_atm_pct,em_pct,expected_move
2023-06-30,2023-07-28,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4438.96,4581.73,4380,4305,3980,960.0,13.47,-960.0,LOSS,expiration,0,-1830,-85.0,-40.0,-150.0,-197.5,-230.0,-242.5,13.47,3.73,165.6
2023-07-07,2023-08-04,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4415.42,4478.55,4345,4265,3910,180.0,14.98,-180.0,LOSS,expiration,0,-300,50.0,-20.0,-75.0,-72.5,-97.5,-105.0,14.98,4.15,183.2
2023-07-14,2023-08-11,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4523.78,4464.31,4465,4385,4050,1130.0,13.69,-1061.0,LOSS,expiration,610,-2340,205.0,175.0,0.0,470.0,660.0,985.0,13.69,3.79,171.5
2023-07-21,2023-08-18,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4541.96,4370.6,4480,4405,4055,310.0,13.79,3750.0,WIN,expiration,3900,-1710,20.0,215.0,380.0,875.0,1370.0,1620.0,13.79,3.82,173.5
2023-07-28,2023-08-25,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4574.03,4405.32,4515,4435,4090,430.0,13.53,4602.0,WIN,expiration,5230,-2450,10.0,185.0,760.0,-910.0,1075.0,1685.0,13.53,3.75,171.4
2023-08-04,2023-09-01,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4514.98,4514.95,4445,4355,3975,390.0,15.27,-390.0,LOSS,expiration,2150,-1330,45.0,145.0,1080.0,1905.0,1815.0,1535.0,15.27,4.23,191.0
2023-08-11,2023-09-08,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4451.3,4457.99,4370,4280,3900,510.0,16.15,-510.0,LOSS,expiration,450,-870,75.0,730.0,420.0,-60.0,-95.0,-95.0,16.15,4.47,199.1
2023-08-18,2023-09-15,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4348.8,4450.35,4255,4155,3740,260.0,18.58,-260.0,LOSS,expiration,120,-1390,205.0,-142.5,-167.5,-150.0,-192.5,-202.5,18.58,5.15,223.8
2023-08-25,2023-09-22,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4396.18,4319.25,4315,4220,3860,960.0,16.64,-960.0,LOSS,expiration,0,-1040,95.0,175.0,35.0,-65.0,-20.0,-40.0,16.64,4.61,202.6
2023-09-01,2023-09-29,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4527.51,4289.13,4465,4390,4075,650.0,13.27,-3237.0,LOSS,expiration,680,-7070,-40.0,390.0,1030.0,-350.0,-165.0,-1760.0,13.27,3.68,166.4
2023-09-08,2023-10-06,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4460.79,4307.89,4395,4310,4000,300.0,14.03,7989.0,WIN,expiration,7520,-1310,70.0,455.0,670.0,1330.0,1785.0,1975.0,14.03,3.89,173.3
2023-09-15,2023-10-13,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4481.34,4328.34,4425,4350,4025,350.0,13.15,4984.0,WIN,expiration,4850,-6930,-1200.0,-1595.0,-2390.0,-2990.0,50.0,1920.0,13.15,3.64,163.2
2023-09-22,2023-10-20,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4340.84,4223.58,4260,4165,3780,400.0,16.79,3242.0,WIN,expiration,3070,-1280,145.0,610.0,330.0,170.0,130.0,160.0,16.79,4.65,201.9
2023-09-29,2023-10-27,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4329.62,4118.3,4255,4165,3850,1430.0,15.9,2900.0,WIN,expiration,4890,-3280,-5.0,215.0,320.0,725.0,1715.0,1590.0,15.9,4.4,190.7
2023-10-06,2023-11-03,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4232.28,4358.11,4140,4040,3650,380.0,19.23,-380.0,LOSS,expiration,1570,-1190,-60.0,160.0,260.0,1320.0,1325.0,1405.0,19.23,5.33,225.4
2023-10-13,2023-11-10,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4371.99,4415.89,4290,4195,3810,1200.0,16.94,-1200.0,LOSS,expiration,880,-3960,-515.0,-845.0,135.0,910.0,95.0,-25.0,16.94,4.69,205.1
2023-10-20,2023-11-17,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4263.29,4513.91,4160,4045,3590,410.0,20.74,-410.0,LOSS,expiration,670,-1030,330.0,50.0,-250.0,-267.5,-342.5,-345.0,20.74,5.74,244.9
2023-10-27,2023-11-24,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4143.54,4558.9,4050,3940,3550,1360.0,20.09,-1360.0,LOSS,expiration,0,-2010,-255.0,-377.5,-422.5,-432.5,-427.5,-425.0,20.09,5.56,230.6
2023-11-03,2023-12-01,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4358.24,4593.72,4285,4200,3890,1150.0,15.18,-1150.0,LOSS,expiration,0,-1560,305.0,-135.0,-237.5,-237.5,-252.5,-252.5,15.18,4.2,183.2
2023-11-10,2023-12-08,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4367.13,4603.49,4295,4215,3900,1230.0,14.85,-1230.0,LOSS,expiration,0,-1435,-45.0,-195.0,-210.0,-210.0,-215.0,-227.5,14.85,4.11,179.6
2023-11-17,2023-12-15,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4508.14,4715.03,4445,4370,4020,310.0,13.93,-310.0,LOSS,expiration,0,-1270,-10.0,-25.0,15.0,-95.0,-197.5,-222.5,13.93,3.86,173.9
2023-11-24,2023-12-22,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4558.61,4755.16,4500,4425,4100,340.0,13.07,-340.0,LOSS,expiration,100,-1030,45.0,80.0,-105.0,-242.5,-277.5,-285.0,13.07,3.62,165.0
2023-12-01,2023-12-29,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4563.52,4772.17,4505,4435,4120,1070.0,12.82,-1070.0,LOSS,expiration,0,-1805,80.0,-40.0,-130.0,-115.0,-137.5,-137.5,12.82,3.55,162.0
2023-12-08,2024-01-05,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4584.37,4696.66,4525,4455,4170,1010.0,12.78,-1010.0,LOSS,expiration,0,-1680,20.0,-55.0,-130.0,-157.5,-162.5,-162.5,12.78,3.54,162.3
