trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2024-07-15,2024-07-19,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5637.78,5505.73,5640.0,5630.0,5650.0,55.0,12.87,11.79,69.6,55.0,37.5,37.5,45.0,WIN,expiration,57.5,-520.0,-5.0
2024-07-22,2024-07-26,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5544.8,5459.51,5545.0,5530.0,5560.0,110.0,15.77,14.9,86.5,110.0,40.0,70.0,92.5,WIN,expiration,110.0,-270.0,10.0
2024-07-29,2024-08-02,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5482.64,5345.52,5485.0,5465.0,5505.0,125.0,16.74,20.74,119.1,125.0,55.0,80.0,122.5,WIN,expiration,125.0,-2070.0,55.0
2024-08-12,2024-08-16,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5328.43,5554.22,5330.0,5310.0,5350.0,110.0,20.99,22.52,125.6,110.0,35.0,215.0,215.0,WIN,expiration,290.0,-3380.0,20.0
2024-08-19,2024-08-23,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5561.18,5633.31,5560.0,5550.0,5570.0,50.0,15.2,13.92,81.1,50.0,15.0,50.0,50.0,WIN,expiration,120.0,-1490.0,20.0
2024-08-26,2024-08-30,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5641.29,5646.96,5640.0,5625.0,5655.0,90.0,16.06,15.12,89.3,-714.0,62.5,62.5,-714.0,LOSS,expiration,62.5,-1000.0,10.0
2024-09-09,2024-09-13,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5459.95,5625.53,5460.0,5440.0,5480.0,125.0,20.44,20.71,118.4,125.0,460.0,460.0,460.0,WIN,expiration,460.0,-3930.0,20.0
2024-09-16,2024-09-20,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5630.04,5702.51,5630.0,5615.0,5645.0,75.0,17.22,17.79,104.9,75.0,140.0,140.0,140.0,WIN,expiration,145.0,-2380.0,140.0
2024-09-23,2024-09-27,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5710.95,5737.26,5710.0,5700.0,5720.0,55.0,16.14,12.72,76.0,55.0,15.0,350.0,350.0,WIN,expiration,350.0,-1630.0,-75.0
2024-09-30,2024-10-04,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5728.24,5749.63,5730.0,5715.0,5745.0,75.0,17.11,17.6,105.6,75.0,55.0,55.0,75.0,WIN,expiration,55.0,-1870.0,-5.0
2024-10-07,2024-10-11,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5728.03,5814.91,5730.0,5715.0,5745.0,80.0,21.13,17.44,104.6,80.0,125.0,125.0,125.0,WIN,expiration,260.0,-3490.0,-10.0
