Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2023-09-29,2023-10-12,2130,39.92,5.08,2023-10-12,790,399.46,2.54,2920,439.38,7.62,2023-10-12,122
2023-10-06,2023-10-19,2105,1834.92,5.08,2023-10-19,795,-598.54,2.54,2900,1236.38,7.62,2023-10-19,123
2023-10-13,2023-10-26,2405,536.92,5.08,2023-10-26,880,-868.54,2.54,3285,-331.62,7.62,2023-10-26,124
2023-10-20,2023-11-02,2215,-783.08,5.08,2023-11-02,725,319.46,2.54,2940,-463.62000000000006,7.62,2023-11-02,125
2023-10-27,2023-11-09,2510,-2143.08,5.08,2023-11-09,865,107.46,2.54,3375,-2035.62,7.62,2023-11-09,126
2023-11-03,2023-11-16,1610,-1031.08,5.08,2023-11-16,545,837.46,2.54,2155,-193.6199999999999,7.62,2023-11-16,127
2023-11-10,2023-11-24,1895,-1508.08,5.08,2023-11-24,685,257.46,2.54,2580,-1250.62,7.62,2023-11-24,128
2023-11-17,2023-11-30,1990,-200.08,5.08,2023-11-30,765,372.46,2.54,2755,172.37999999999997,7.62,2023-11-30,129
2023-11-24,2023-12-07,2165,441.92,5.08,2023-12-07,825,397.46,2.54,2990,839.38,7.62,2023-12-07,130
2023-12-01,2023-12-14,1490,-683.08,5.08,2023-12-14,520,1042.46,2.54,2010,359.38,7.62,2023-12-14,131
2023-12-08,2023-12-21,1405,-416.08,5.08,2023-12-21,555,1252.46,2.54,1960,836.3800000000001,7.62,2023-12-21,132
2023-12-15,2023-12-28,1755,-545.08,5.08,2023-12-28,705,1152.46,2.54,2460,607.38,7.62,2023-12-28,133
2023-12-22,2024-01-04,2060,61.92,5.08,2024-01-04,790,-725.54,2.54,2850,-663.62,7.62,2024-01-04,134
2023-12-29,2024-01-11,1585,316.92,5.08,2024-01-11,620,-415.54,2.54,2205,-98.62,7.62,2024-01-11,135
2024-01-05,2024-01-18,1945,-526.08,5.08,2024-01-18,740,1072.46,2.54,2685,546.38,7.62,2024-01-18,136
2024-01-12,2024-01-25,2350,-980.08,5.08,2024-01-25,930,1567.46,2.54,3280,587.38,7.62,2024-01-25,137
2024-01-19,2024-02-01,1585,114.92,5.08,2024-02-01,575,702.46,2.54,2160,817.38,7.62,2024-02-01,138
2024-01-26,2024-02-08,1740,-918.08,5.08,2024-02-08,670,1417.46,2.54,2410,499.38,7.62,2024-02-08,139
2024-02-02,2024-02-15,1580,156.92,5.08,2024-02-15,620,564.46,2.54,2200,721.38,7.62,2024-02-15,140
2024-02-09,2024-02-22,1850,-73.08,5.08,2024-02-22,730,967.46,2.54,2580,894.38,7.62,2024-02-22,141
2024-02-16,2024-02-29,2185,-758.08,5.08,2024-02-29,890,1007.46,2.54,3075,249.38,7.62,2024-02-29,142
2024-02-23,2024-03-07,1935,406.92,5.08,2024-03-07,690,837.46,2.54,2625,1244.38,7.62,2024-03-07,143
2024-03-01,2024-03-14,2135,1314.92,5.08,2024-03-14,1065,-340.54,2.54,3200,974.3800000000001,7.62,2024-03-14,144
2024-03-08,2024-03-21,1495,-658.08,5.08,2024-03-21,600,1187.46,2.54,2095,529.38,7.62,2024-03-21,145
2024-03-15,2024-03-28,2195,-1393.08,5.08,2024-03-28,830,1487.46,2.54,3025,94.38000000000011,7.62,2024-03-28,146
2024-03-22,2024-04-04,2365,709.92,5.08,2024-04-04,915,-810.54,2.54,3280,-100.62,7.62,2024-04-04,147
2024-04-05,2024-04-18,2190,281.92,5.08,2024-04-18,915,-890.54,2.54,3105,-608.6199999999999,7.62,2024-04-18,148
2024-04-12,2024-04-25,2505,364.92,5.08,2024-04-25,985,-905.54,2.54,3490,-540.6199999999999,7.62,2024-04-25,149
2024-04-19,2024-05-02,2220,-653.08,5.08,2024-05-02,770,567.46,2.54,2990,-85.62,7.62,2024-05-02,150
2024-04-26,2024-05-09,2230,-1175.08,5.08,2024-05-09,815,1369.46,2.54,3045,194.3800000000001,7.62,2024-05-09,151
2024-05-03,2024-05-16,2235,-1496.08,5.08,2024-05-16,905,737.46,2.54,3140,-758.6199999999999,7.62,2024-05-16,152
2024-05-10,2024-05-23,1410,318.92,5.08,2024-05-23,550,52.46,2.54,1960,371.38,7.62,2024-05-23,153
2024-05-17,2024-05-30,2105,664.92,5.08,2024-05-30,905,-810.54,2.54,3010,-145.62,7.62,2024-05-30,154
2024-05-24,2024-06-06,2630,171.92,5.08,2024-06-06,1105,967.46,2.54,3735,1139.38,7.62,2024-06-06,155
2024-05-31,2024-06-13,1570,-911.08,5.08,2024-06-13,580,567.46,2.54,2150,-343.62,7.62,2024-06-13,156
2024-06-07,2024-06-20,1895,-698.08,5.08,2024-06-20,725,1472.46,2.54,2620,774.38,7.62,2024-06-20,157
2024-06-14,2024-06-27,1780,-76.08,5.08,2024-06-27,775,449.46,2.54,2555,373.38,7.62,2024-06-27,158
2024-06-21,2024-07-05,2675,-1653.08,5.08,2024-07-05,1075,1564.46,2.54,3750,-88.61999999999989,7.62,2024-07-05,159
2024-06-28,2024-07-11,1905,-718.08,5.08,2024-07-11,650,1512.46,2.54,2555,794.38,7.62,2024-07-11,160
2024-07-05,2024-07-18,2045,1174.92,5.08,2024-07-18,770,-357.54,2.54,2815,817.3800000000001,7.62,2024-07-18,161
2024-07-12,2024-07-25,2680,-896.08,5.08,2024-07-25,1245,-1187.54,2.54,3925,-2083.62,7.62,2024-07-25,162
2024-07-19,2024-08-01,2190,1544.92,5.08,2024-08-01,680,-455.54,2.54,2870,1089.38,7.62,2024-08-01,163
2024-07-26,2024-08-08,2310,2544.92,5.08,2024-08-08,780,-705.54,2.54,3090,1839.38,7.62,2024-08-08,164
2024-08-02,2024-08-15,2835,-2035.08,5.08,2024-08-15,880,1777.46,2.54,3715,-257.6199999999999,7.62,2024-08-15,165
2024-08-09,2024-08-22,2870,-1693.08,5.08,2024-08-22,1120,1442.46,2.54,3990,-250.6199999999999,7.62,2024-08-22,166
2024-08-16,2024-08-29,2060,671.92,5.08,2024-08-29,865,317.46,2.54,2925,989.3799999999999,7.62,2024-08-29,167
2024-08-23,2024-09-05,2425,691.92,5.08,2024-09-05,860,-810.54,2.54,3285,-118.62,7.62,2024-09-05,168
2024-08-30,2024-09-12,2640,1566.92,5.08,2024-09-12,955,-545.54,2.54,3595,1021.3800000000001,7.62,2024-09-12,169
2024-09-06,2024-09-19,2660,-1830.08,5.08,2024-09-19,755,712.46,2.54,3415,-1117.62,7.62,2024-09-19,170
2024-09-13,2024-09-26,2755,-948.08,5.08,2024-09-26,1085,1947.46,2.54,3840,999.38,7.62,2024-09-26,171
2024-09-20,2024-10-03,2560,2176.92,5.08,2024-10-03,905,-452.54,2.54,3465,1724.38,7.62,2024-10-03,172
2024-09-27,2024-10-10,2265,1036.92,5.08,2024-10-10,785,-140.54,2.54,3050,896.3800000000001,7.62,2024-10-10,173
2024-10-04,2024-10-17,2600,-855.08,5.08,2024-10-17,865,1112.46,2.54,3465,257.38,7.62,2024-10-17,174
2024-10-11,2024-10-24,3505,666.92,5.08,2024-10-24,1370,-865.54,2.54,4875,-198.62,7.62,2024-10-24,175
2024-10-18,2024-10-31,5385,1654.92,5.08,2024-10-31,2415,-2022.54,2.54,7800,-367.6199999999999,7.62,2024-10-31,176
2024-10-25,2024-11-07,2425,-1188.08,5.08,2024-11-07,700,1747.46,2.54,3125,559.3800000000001,7.62,2024-11-07,177
2024-11-01,2024-11-14,2430,-1613.08,5.08,2024-11-14,875,1717.46,2.54,3305,104.38000000000011,7.62,2024-11-14,178
2024-11-08,2024-11-21,1810,626.92,5.08,2024-11-21,720,-670.54,2.54,2530,-43.620000000000005,7.62,2024-11-21,179
2024-11-15,2024-11-29,2970,-2201.08,5.08,2024-11-29,1040,1057.46,2.54,4010,-1143.62,7.62,2024-11-29,180
2024-11-22,2024-12-05,2650,-1483.08,5.08,2024-12-05,980,982.46,2.54,3630,-500.6199999999999,7.62,2024-12-05,181
2024-11-29,2024-12-12,2680,331.92,5.08,2024-12-12,1080,-560.54,2.54,3760,-228.61999999999995,7.62,2024-12-12,182
2024-12-06,2024-12-19,1530,308.92,5.08,2024-12-19,575,-575.54,2.54,2105,-266.61999999999995,7.62,2024-12-19,183
2024-12-13,2024-12-26,2600,146.92,5.08,2024-12-26,1120,-830.54,2.54,3720,-683.62,7.62,2024-12-26,184
2024-12-20,2025-01-02,2995,-263.08,5.08,2025-01-02,1285,-1158.54,2.54,4280,-1421.62,7.62,2025-01-02,185
2024-12-27,2025-01-10,2755,1388.92,5.08,2025-01-10,930,-880.54,2.54,3685,508.3800000000001,7.62,2025-01-10,186
2025-01-03,2025-01-16,2245,874.92,5.08,2025-01-16,795,-370.54,2.54,3040,504.37999999999994,7.62,2025-01-16,187
2025-01-10,2025-01-23,3380,-2726.08,5.08,2025-01-23,1200,317.46,2.54,4580,-2408.62,7.62,2025-01-23,188
2025-01-17,2025-01-30,2550,979.92,5.08,2025-01-30,970,357.46,2.54,3520,1337.3799999999999,7.62,2025-01-30,189
2025-01-24,2025-02-06,2350,931.92,5.08,2025-02-06,920,-755.54,2.54,3270,176.38,7.62,2025-02-06,190
2025-01-31,2025-02-13,1930,63.92,5.08,2025-02-13,670,-90.54,2.54,2600,-26.620000000000005,7.62,2025-02-13,191
2025-02-07,2025-02-20,2910,-733.08,5.08,2025-02-20,1085,997.46,2.54,3995,264.38,7.62,2025-02-20,192
2025-02-14,2025-02-27,2445,264.92,5.08,2025-02-27,940,-915.54,2.54,3385,-650.6199999999999,7.62,2025-02-27,193
2025-02-21,2025-03-06,2485,1586.92,5.08,2025-03-06,855,-845.54,2.54,3340,741.3800000000001,7.62,2025-03-06,194
2025-02-28,2025-03-13,3010,-1058.08,5.08,2025-03-13,1045,-1035.54,2.54,4055,-2093.62,7.62,2025-03-13,195
