trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3
2025-03-14,2025-03-21,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5589.5,5666.68,5590.0,5500.0,5680.0,1600.0,23.38,23.66,183.2,268.0,268.0,268.0,268.0,WIN,expiration,270.0,-5375.0,25.0,-465.0
2025-03-21,2025-03-28,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5621.35,5580.28,5620.0,5540.0,5700.0,1640.0,20.54,20.32,158.2,-2388.0,760.0,870.0,1560.0,LOSS,expiration,1560.0,-3835.0,760.0,845.0
2025-03-28,2025-04-04,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5660.93,5075.24,5660.0,5575.0,5745.0,1595.0,19.46,21.73,170.4,1595.0,870.0,870.0,1257.5,WIN,expiration,1595.0,-3880.0,155.0,-195.0
2025-04-04,2025-04-11,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5251.51,5361.2,5250.0,5110.0,5390.0,2925.0,35.84,38.31,278.6,45.0,770.0,1975.0,45.0,WIN,expiration,1975.0,-4450.0,770.0,0.0
2025-04-11,2025-04-17,SPX,6,0.50,Inverse Butterfly 1-2-1 (calls),5283.85,5283.5,5285.0,5120.0,5450.0,2935.0,42.42,49.39,334.6,-13415.0,-13415.0,-13415.0,-13415.0,LOSS,expiration,45.0,-16155.0,-105.0,-160.0
2025-04-25,2025-05-02,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5466.22,5685.73,5465.0,5360.0,5570.0,1990.0,27.1,27.61,209.0,1990.0,735.0,1075.0,1800.0,WIN,expiration,2100.0,-5380.0,-80.0,-130.0
2025-05-02,2025-05-09,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5653.77,5659.15,5655.0,5580.0,5730.0,1365.0,23.04,19.53,152.9,-5720.0,-5720.0,-5720.0,-5720.0,LOSS,expiration,155.0,-6665.0,-555.0,-415.0
2025-05-09,2025-05-16,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5686.25,5958.4,5685.0,5605.0,5765.0,1610.0,21.95,20.49,161.4,1610.0,525.0,880.0,1370.0,WIN,expiration,1730.0,-3120.0,525.0,1370.0
2025-05-16,2025-05-23,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5926.43,5804.16,5925.0,5865.0,5985.0,1240.0,17.48,14.24,116.9,1240.0,1152.5,1152.5,1152.5,WIN,expiration,1245.0,-1430.0,0.0,-140.0
2025-05-23,2025-05-30,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5779.22,5907.06,5780.0,5705.0,5855.0,1445.0,23.2,19.33,154.7,1445.0,630.0,765.0,1170.0,WIN,expiration,1830.0,-3050.0,630.0,630.0
2025-05-30,2025-06-06,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5881.04,5999.66,5880.0,5810.0,5950.0,1210.0,19.7,17.17,139.9,1210.0,450.0,945.0,945.0,WIN,expiration,1280.0,-2900.0,-175.0,-45.0
2025-06-06,2025-06-13,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6010.92,5977.48,6010.0,5950.0,6070.0,1295.0,17.2,14.12,117.5,-1453.0,-1453.0,-1453.0,-1453.0,LOSS,expiration,20.0,-3480.0,-90.0,-240.0
